src,dst
0,1
1,2
2,3
3,4
4,5
5,6
6,7
7,8
8,9
9,10
10,11
11,12
12,13
13,14
14,15
15,16
16,17
17,18
18,19
19,20
20,21
21,22
22,23
23,24
24,25
25,26
26,27
27,28
28,29
29,30
30,31
31,32
32,33
33,34
34,35
35,36
36,37
37,38
38,39
39,40
40,41
41,42
42,43
43,44
44,45
45,46
46,47
47,48
48,49
49,50
50,51
51,52
52,53
53,54
54,55
55,56
56,57
57,58
58,59
59,60
60,61
61,62
62,63
63,64
64,65
65,66
66,67
67,68
68,69
69,70
70,71
71,72
72,73
73,74
74,75
75,76
76,77
77,78
78,79
79,80
80,81
81,82
82,83
83,84
84,85
85,86
86,87
87,88
88,89
89,90
90,91
91,92
92,93
93,94
94,95
95,96
96,97
97,98
98,99
99,100
100,101
101,102
102,103
0,104
1,104
2,104
3,104
4,104
5,104
6,104
7,104
8,104
9,104
10,104
11,104
12,104
13,104
14,104
15,104
16,104
17,104
18,104
19,104
20,104
21,104
22,104
23,104
24,104
25,104
26,104
27,104
28,104
29,104
30,104
31,104
32,104
33,104
34,104
35,104
36,104
37,104
38,104
39,104
40,104
41,104
42,104
43,104
44,104
45,104
46,104
47,104
48,104
49,104
50,104
51,104
52,104
53,104
54,104
55,104
56,104
57,104
58,104
59,104
60,104
61,104
62,104
63,104
64,104
65,104
66,104
67,104
68,104
69,104
70,104
71,104
72,104
73,104
74,104
75,104
76,104
77,104
78,104
79,104
80,104
81,104
82,104
83,104
84,104
85,104
86,104
87,104
88,104
89,104
90,104
91,104
92,104
93,104
94,104
95,104
96,104
97,104
98,104
99,104
100,104
101,104
102,104
103,104
