operation,Non-working days,Working_days non-working_hours,Working_days working_hours,activity_logon,url,http_num,activity_device,device_num,session_indicator,targets,graph_indicator
logon,0,1,0,1,0,0,0,0,7849,1,7849
http,1,1,1,1,0,0,1,0,7849,1,7849
http,1,1,1,1,0,0,1,0,7849,1,7849
device,3,3,3,3,3,0,1,0,7849,1,7849
http,1,1,1,1,1,0,1,0,7849,1,7849
device,3,3,3,3,3,0,0,0,7849,1,7849
http,1,1,1,1,0,0,1,0,7849,1,7849
http,1,1,1,1,0,0,1,0,7849,1,7849
http,1,1,1,1,0,0,1,0,7849,1,7849
http,1,1,1,1,0,0,1,0,7849,1,7849
logon,0,0,0,0,0,0,0,0,7849,1,7849
5,5,5,5,5,5,1,5,2,7849,1,7849
