operation,Non-working days,Working_days non-working_hours,Working_days working_hours,activity_logon,url,activity_device,targets,graph_indicator
logon,0,1,0,1,0,0,0,2060
device,3,3,3,3,3,1,0,2060
file,4,4,4,4,4,4,0,2060
file,4,4,4,4,4,4,0,2060
device,3,3,3,3,3,0,0,2060
device,3,3,3,3,3,1,0,2060
file,4,4,4,4,4,4,0,2060
device,3,3,3,3,3,0,0,2060
device,3,3,3,3,3,1,0,2060
file,4,4,4,4,4,4,0,2060
file,4,4,4,4,4,4,0,2060
device,3,3,3,3,3,0,0,2060
device,3,3,3,3,3,1,0,2060
file,4,4,4,4,4,4,0,2060
file,4,4,4,4,4,4,0,2060
file,4,4,4,4,4,4,0,2060
file,4,4,4,4,4,4,0,2060
file,4,4,4,4,4,4,0,2060
file,4,4,4,4,4,4,0,2060
file,4,4,4,4,4,4,0,2060
file,4,4,4,4,4,4,0,2060
device,3,3,3,3,3,0,0,2060
device,3,3,3,3,3,1,0,2060
device,3,3,3,3,3,0,0,2060
http,1,1,1,1,0,1,0,2060
device,3,3,3,3,3,1,0,2060
file,4,4,4,4,4,4,0,2060
file,4,4,4,4,4,4,0,2060
file,4,4,4,4,4,4,0,2060
device,3,3,3,3,3,0,0,2060
device,3,3,3,3,3,1,0,2060
device,3,3,3,3,3,0,0,2060
device,3,3,3,3,3,1,0,2060
file,4,4,4,4,4,4,0,2060
file,4,4,4,4,4,4,0,2060
file,4,4,4,4,4,4,0,2060
file,4,4,4,4,4,4,0,2060
file,4,4,4,4,4,4,0,2060
file,4,4,4,4,4,4,0,2060
file,4,4,4,4,4,4,0,2060
file,4,4,4,4,4,4,0,2060
device,3,3,3,3,3,0,0,2060
logon,0,0,0,0,0,0,0,2060
