operation,Non-working days,Working_days non-working_hours,Working_days working_hours,activity_logon,url,activity_device,targets,graph_indicator
logon,0,1,0,1,0,0,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
email,2,2,2,2,2,2,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
email,2,2,2,2,2,2,0,1744
email,2,2,2,2,2,2,0,1744
http,1,1,1,1,0,1,0,1744
email,2,2,2,2,2,2,0,1744
email,2,2,2,2,2,2,0,1744
http,1,1,1,1,0,1,0,1744
email,2,2,2,2,2,2,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
email,2,2,2,2,2,2,0,1744
email,2,2,2,2,2,2,0,1744
email,2,2,2,2,2,2,0,1744
email,2,2,2,2,2,2,0,1744
email,2,2,2,2,2,2,0,1744
email,2,2,2,2,2,2,0,1744
email,2,2,2,2,2,2,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
email,2,2,2,2,2,2,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
http,1,1,1,1,0,1,0,1744
