operation,Non-working days,Working_days non-working_hours,Working_days working_hours,activity_logon,url,activity_device,targets,graph_indicator
logon,0,0,1,1,0,0,0,851
http,1,1,1,1,0,1,0,851
http,1,1,1,1,0,1,0,851
http,1,1,1,1,0,1,0,851
http,1,1,1,1,0,1,0,851
http,1,1,1,1,0,1,0,851
http,1,1,1,1,0,1,0,851
http,1,1,1,1,0,1,0,851
http,1,1,1,1,0,1,0,851
http,1,1,1,1,0,1,0,851
http,1,1,1,1,0,1,0,851
http,1,1,1,1,0,1,0,851
http,1,1,1,1,0,1,0,851
http,1,1,1,1,0,1,0,851
http,1,1,1,1,0,1,0,851
http,1,1,1,1,0,1,0,851
http,1,1,1,1,0,1,0,851
http,1,1,1,1,0,1,0,851
http,1,1,1,1,0,1,0,851
http,1,1,1,1,0,1,0,851
http,1,1,1,1,0,1,0,851
http,1,1,1,1,0,1,0,851
email,2,2,2,2,2,2,0,851
http,1,1,1,1,0,1,0,851
http,1,1,1,1,0,1,0,851
http,1,1,1,1,0,1,0,851
http,1,1,1,1,0,1,0,851
http,1,1,1,1,0,1,0,851
email,2,2,2,2,2,2,0,851
http,1,1,1,1,0,1,0,851
http,1,1,1,1,0,1,0,851
http,1,1,1,1,0,1,0,851
http,1,1,1,1,0,1,0,851
http,1,1,1,1,0,1,0,851
http,1,1,1,1,0,1,0,851
http,1,1,1,1,0,1,0,851
http,1,1,1,1,0,1,0,851
http,1,1,1,1,0,1,0,851
http,1,1,1,1,0,1,0,851
http,1,1,1,1,0,1,0,851
http,1,1,1,1,0,1,0,851
http,1,1,1,1,0,1,0,851
http,1,1,1,1,0,1,0,851
http,1,1,1,1,0,1,0,851
http,1,1,1,1,0,1,0,851
http,1,1,1,1,0,1,0,851
http,1,1,1,1,0,1,0,851
http,1,1,1,1,0,1,0,851
http,1,1,1,1,0,1,0,851
http,1,1,1,1,0,1,0,851
http,1,1,1,1,0,1,0,851
http,1,1,1,1,0,1,0,851
http,1,1,1,1,0,1,0,851
http,1,1,1,1,0,1,0,851
http,1,1,1,1,0,1,0,851
http,1,1,1,1,0,1,0,851
http,1,1,1,1,0,1,0,851
http,1,1,1,1,0,1,0,851
http,1,1,1,1,0,1,0,851
http,1,1,1,1,0,1,0,851
http,1,1,1,1,0,1,0,851
http,1,1,1,1,0,1,0,851
http,1,1,1,1,0,1,0,851
http,1,1,1,1,0,1,0,851
http,1,1,1,1,0,1,0,851
http,1,1,1,1,0,1,0,851
http,1,1,1,1,0,1,0,851
http,1,1,1,1,0,1,0,851
http,1,1,1,1,0,1,0,851
http,1,1,1,1,0,1,0,851
http,1,1,1,1,0,1,0,851
http,1,1,1,1,0,1,0,851
http,1,1,1,1,0,1,0,851
http,1,1,1,1,0,1,0,851
http,1,1,1,1,0,1,0,851
http,1,1,1,1,0,1,0,851
http,1,1,1,1,0,1,0,851
http,1,1,1,1,0,1,0,851
http,1,1,1,1,0,1,0,851
http,1,1,1,1,0,1,0,851
http,1,1,1,1,0,1,0,851
http,1,1,1,1,0,1,0,851
email,2,2,2,2,2,2,0,851
email,2,2,2,2,2,2,0,851
http,1,1,1,1,0,1,0,851
http,1,1,1,1,0,1,0,851
http,1,1,1,1,0,1,0,851
email,2,2,2,2,2,2,0,851
http,1,1,1,1,0,1,0,851
http,1,1,1,1,0,1,0,851
email,2,2,2,2,2,2,0,851
http,1,1,1,1,0,1,0,851
http,1,1,1,1,0,1,0,851
http,1,1,1,1,0,1,0,851
email,2,2,2,2,2,2,0,851
email,2,2,2,2,2,2,0,851
http,1,1,1,1,0,1,0,851
http,1,1,1,1,0,1,0,851
http,1,1,1,1,0,1,0,851
http,1,1,1,1,0,1,0,851
email,2,2,2,2,2,2,0,851
http,1,1,1,1,0,1,0,851
http,1,1,1,1,0,1,0,851
http,1,1,1,1,0,1,0,851
http,1,1,1,1,0,1,0,851
logon,0,0,0,0,0,0,0,851
