operation,Non-working days,Working_days non-working_hours,Working_days working_hours,activity_logon,url,activity_device,targets,graph_indicator
logon,0,1,0,1,0,0,1,7799
device,3,3,3,3,3,1,1,7799
http,1,1,1,1,1,1,1,7799
device,3,3,3,3,3,0,1,7799
http,1,1,1,1,0,1,1,7799
http,1,1,1,1,0,1,1,7799
http,1,1,1,1,0,1,1,7799
http,1,1,1,1,0,1,1,7799
http,1,1,1,1,0,1,1,7799
http,1,1,1,1,0,1,1,7799
http,1,1,1,1,0,1,1,7799
http,1,1,1,1,0,1,1,7799
http,1,1,1,1,0,1,1,7799
http,1,1,1,1,0,1,1,7799
http,1,1,1,1,0,1,1,7799
http,1,1,1,1,0,1,1,7799
email,2,2,2,2,2,2,1,7799
http,1,1,1,1,0,1,1,7799
http,1,1,1,1,0,1,1,7799
http,1,1,1,1,0,1,1,7799
http,1,1,1,1,0,1,1,7799
email,2,2,2,2,2,2,1,7799
http,1,1,1,1,0,1,1,7799
http,1,1,1,1,0,1,1,7799
http,1,1,1,1,0,1,1,7799
email,2,2,2,2,2,2,1,7799
http,1,1,1,1,0,1,1,7799
http,1,1,1,1,0,1,1,7799
http,1,1,1,1,0,1,1,7799
http,1,1,1,1,0,1,1,7799
http,1,1,1,1,0,1,1,7799
http,1,1,1,1,0,1,1,7799
http,1,1,1,1,0,1,1,7799
http,1,1,1,1,0,1,1,7799
http,1,1,1,1,0,1,1,7799
http,1,1,1,1,0,1,1,7799
http,1,1,1,1,0,1,1,7799
logon,0,0,0,0,0,0,1,7799
